Name,IDfg,key_mlbam,season,Team,Y,n,obp_raw,Age,SO,GB%,K%,park_factor,avg_fip_faced,avg_fip_faced_z,park_factor_z,k_rate_z,gb_rate_z,age_z
Marcus Semien,12533,543760,2023,TEX,262.0,753.0,0.34794156706507307,32.0,110.0,,0.1460823373173971,1.0,3.7225,-0.9493792447388681,0.0,-1.4180178992576855,0.0,0.9338949053306749
Freddie Freeman*,5361,518692,2023,LAD,299.0,730.0,0.4095890410958904,33.0,121.0,,0.16575342465753426,1.0,5.985714285714286,1.9503860172751506,0.0,-1.0983305243574017,0.0,1.194151503572977
Alex Bregman,17678,608324,2023,HOU,263.0,724.0,0.3632596685082873,29.0,87.0,,0.12016574585635359,1.0,2.9275,-1.9679807080879617,0.0,-1.839204941299782,0.0,0.15312511060376804
Nathaniel Lowe*,19566,663993,2023,TEX,261.0,724.0,0.36049723756906077,27.0,165.0,,0.22790055248618785,1.0,3.7225,-0.9493792447388681,0.0,-0.08833794948857941,0.0,-0.3673880858808365
Matt Olson*,14344,621566,2023,ATL,280.0,720.0,0.3888888888888889,29.0,167.0,,0.23194444444444445,1.0,2.69,-2.272279887390364,0.0,-0.022618084482560502,0.0,0.15312511060376804
Kyle Schwarber*,16478,656941,2023,PHI,247.0,720.0,0.34305555555555556,30.0,215.0,,0.2986111111111111,1.0,4.3425,-0.15499822929680762,0.0,1.0608243959202688,0.0,0.41338170884607034
Steven Kwan*,24610,680757,2023,CLE,244.0,718.0,0.3398328690807799,25.0,75.0,,0.10445682451253482,1.0,3.4525,-1.2953193643668623,0.0,-2.0945006318777812,0.0,-0.8879012823654411
Austin Riley,18360,663586,2023,ATL,247.0,715.0,0.34545454545454546,26.0,172.0,,0.24055944055944056,1.0,2.69,-2.272279887390364,0.0,0.11738970690982138,0.0,-0.6276446841231388
Julio Rodríguez,23697,677594,2023,SEA,238.0,714.0,0.3333333333333333,22.0,175.0,,0.24509803921568626,1.0,3.786363636363636,-0.8675533410221461,0.0,0.19114936569495825,0.0,-1.6686710770923479
Juan Soto*,20123,665742,2023,SDP,290.0,708.0,0.4096045197740113,24.0,129.0,,0.18220338983050846,1.0,5.086,0.797618359382502,0.0,-0.8309916583141918,0.0,-1.1481578806077433
Eugenio Suárez,12552,553993,2023,SEA,224.0,694.0,0.3227665706051873,31.0,214.0,,0.30835734870317005,1.0,3.786363636363636,-0.8675533410221461,0.0,1.2192167133903036,0.0,0.6736383070883726
Mookie Betts,13611,605141,2023,LAD,283.0,693.0,0.4083694083694084,30.0,107.0,,0.1544011544011544,1.0,6.65,2.8015085338202157,0.0,-1.2828235020290337,0.0,0.41338170884607034
Ian Happ#,17919,664023,2023,CHC,249.0,691.0,0.36034732272069464,28.0,153.0,,0.22141823444283648,1.0,4.289999999999999,-0.222264363668919,0.0,-0.1936862305833087,0.0,-0.10713148763853422
José Ramírez#,13510,608070,2023,CLE,246.0,691.0,0.35600578871201155,30.0,73.0,,0.10564399421128799,1.0,3.665,-1.0230516776226077,0.0,-2.075207180631638,0.0,0.41338170884607034
Trea Turner,16252,607208,2023,PHI,221.0,691.0,0.31982633863965265,30.0,150.0,,0.2170767004341534,1.0,4.3425,-0.15499822929680762,0.0,-0.2642432662101214,0.0,0.41338170884607034
Nico Hoerner,21479,663538,2023,CHC,238.0,688.0,0.34593023255813954,26.0,83.0,,0.12063953488372094,1.0,4.289999999999999,-0.222264363668919,0.0,-1.831505093914804,0.0,-0.6276446841231388
Paul Goldschmidt,9218,502671,2023,STL,249.0,687.0,0.3624454148471616,35.0,161.0,,0.23435225618631733,1.0,5.007499999999999,0.6970394727499174,0.0,0.016512798406806632,0.0,1.7146647000575816
Francisco Lindor#,12916,596019,2023,NYM,231.0,687.0,0.33624454148471616,29.0,137.0,,0.19941775836972345,1.0,5.842,1.7662506943408844,0.0,-0.5512299860837591,0.0,0.15312511060376804
Adley Rutschman#,26288,668939,2023,BAL,257.0,687.0,0.37409024745269287,25.0,101.0,,0.1470160116448326,1.0,4.279999999999999,-0.23507696069217776,0.0,-1.4028441628196078,0.0,-0.8879012823654411
Spencer Torkelson,27465,679529,2023,DET,214.0,684.0,0.3128654970760234,23.0,171.0,,0.25,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,0.27081425395987235,0.0,-1.4084144788500457
George Springer,12856,543807,2023,TOR,223.0,683.0,0.32650073206442165,33.0,125.0,,0.18301610541727673,1.0,4.5424999999999995,0.10125371116837224,0.0,-0.8177836994463381,0.0,1.194151503572977
Brandon Nimmo*,12927,607043,2023,NYM,247.0,682.0,0.3621700879765396,30.0,146.0,,0.21407624633431085,1.0,5.842,1.7662506943408844,0.0,-0.31300555769414495,0.0,0.41338170884607034
Lane Thomas,16939,657041,2023,WSN,215.0,682.0,0.3152492668621701,27.0,176.0,,0.25806451612903225,1.0,6.107272727272727,2.1061339499215204,0.0,0.4018758443311823,0.0,-0.3673880858808365
Teoscar Hernández,13066,606192,2023,SEA,207.0,678.0,0.3053097345132743,30.0,211.0,,0.3112094395280236,1.0,3.687272727272727,-0.9945145297071676,0.0,1.2655678587545056,0.0,0.41338170884607034
Kyle Tucker*,18345,663656,2023,HOU,246.0,674.0,0.3649851632047478,26.0,92.0,,0.13649851632047477,1.0,2.83,-2.0929035290647375,0.0,-1.5737706811473189,0.0,-0.6276446841231388
Gleyber Torres,16997,650402,2023,NYY,233.0,672.0,0.34672619047619047,26.0,98.0,,0.14583333333333334,1.0,4.8075,0.4407875322847375,0.0,-1.4220646216695487,0.0,-0.6276446841231388
Nick Castellanos,11737,592206,2023,PHI,209.0,671.0,0.3114754098360656,31.0,185.0,,0.2757078986587183,1.0,4.3425,-0.15499822929680762,0.0,0.6886096962910675,0.0,0.6736383070883726
Xander Bogaerts,12161,593428,2023,SDP,233.0,665.0,0.35037593984962406,30.0,110.0,,0.16541353383458646,1.0,4.724,0.33380234714052465,0.0,-1.1038543067016127,0.0,0.41338170884607034
Ty France,17982,664034,2023,SEA,224.0,665.0,0.3368421052631579,28.0,117.0,,0.17593984962406015,1.0,3.786363636363636,-0.8675533410221461,0.0,-0.93278444137485,0.0,-0.10713148763853422
Spencer Steer,26323,668715,2023,CIN,237.0,665.0,0.35639097744360904,25.0,139.0,,0.20902255639097744,1.0,3.7275,-0.9429729462272388,0.0,-0.39513629320502475,0.0,-0.8879012823654411
Christian Walker,13419,572233,2023,ARI,220.0,661.0,0.3328290468986384,32.0,127.0,,0.19213313161875945,1.0,4.17,-0.37601552794802645,0.0,-0.6696170972218577,0.0,0.9338949053306749
Ozzie Albies#,16556,645277,2023,ATL,221.0,660.0,0.33484848484848484,26.0,107.0,,0.1621212121212121,1.0,2.69,-2.272279887390364,0.0,-1.1573599247529485,0.0,-0.6276446841231388
Pete Alonso,19251,624413,2023,NYM,209.0,658.0,0.31762917933130697,28.0,151.0,,0.22948328267477203,1.0,5.842,1.7662506943408844,0.0,-0.06261599266865817,0.0,-0.10713148763853422
Joey Meneses,14366,608841,2023,WSN,211.0,657.0,0.3211567732115677,31.0,130.0,,0.197869101978691,1.0,7.161818181818182,3.4572805451015647,0.0,-0.5763981879076372,0.0,0.6736383070883726
Rafael Devers*,17350,646240,2023,BOS,230.0,656.0,0.35060975609756095,26.0,126.0,,0.19207317073170732,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-0.6705915598047812,0.0,-0.6276446841231388
Anthony Santander#,14551,623993,2023,BAL,213.0,656.0,0.3246951219512195,28.0,152.0,,0.23170731707317074,1.0,4.279999999999999,-0.23507696069217776,0.0,-0.026471792492123364,0.0,-0.10713148763853422
Randy Arozarena,19290,668227,2023,TBR,238.0,654.0,0.363914373088685,28.0,156.0,,0.23853211009174313,1.0,6.452,2.547819112759686,0.0,0.08444226765204639,0.0,-0.10713148763853422
Ketel Marte#,13613,606466,2023,ARI,233.0,650.0,0.35846153846153844,29.0,109.0,,0.1676923076923077,1.0,3.7800000000000002,-0.8757068118551286,0.0,-1.0668205006913132,0.0,0.15312511060376804
Jeff McNeil*,15362,643446,2023,NYM,215.0,648.0,0.3317901234567901,31.0,65.0,,0.10030864197530864,1.0,5.378,1.1717461924616657,0.0,-2.1619153895372216,0.0,0.6736383070883726
Corbin Carroll*,25878,682998,2023,ARI,231.0,645.0,0.3581395348837209,22.0,125.0,,0.1937984496124031,1.0,4.17,-0.37601552794802645,0.0,-0.6425529533564663,0.0,-1.6686710770923479
Bryan Reynolds#,19326,668804,2023,PIT,211.0,640.0,0.3296875,28.0,138.0,,0.215625,1.0,5.847142857142857,1.7728400299528466,0.0,-0.28783577499783647,0.0,-0.10713148763853422
Bryson Stott*,26294,681082,2023,PHI,210.0,640.0,0.328125,25.0,100.0,,0.15625,1.0,4.496666666666667,0.042529308145102716,0.0,-1.2527767341066067,0.0,-0.8879012823654411
Willy Adames,15986,642715,2023,MIL,197.0,638.0,0.30877742946708464,27.0,165.0,,0.25862068965517243,1.0,4.170000000000001,-0.37601552794802534,0.0,0.41091457470161785,0.0,-0.3673880858808365
Dansby Swanson,18314,621020,2023,CHC,209.0,638.0,0.3275862068965517,29.0,154.0,,0.2413793103448276,1.0,4.289999999999999,-0.222264363668919,0.0,0.13071393321812733,0.0,0.15312511060376804
Jeremy Peña,21636,665161,2023,HOU,204.0,634.0,0.3217665615141956,25.0,129.0,,0.20347003154574134,1.0,4.481111111111112,0.02259860166447784,0.0,-0.4853739125673389,0.0,-0.8879012823654411
Adolis García,19287,666969,2023,TEX,207.0,632.0,0.3275316455696203,30.0,175.0,,0.27689873417721517,1.0,3.7225,-0.9493792447388681,0.0,0.7079627231097478,0.0,0.41338170884607034
Christian Yelich*,11477,592885,2023,MIL,234.0,632.0,0.370253164556962,31.0,140.0,,0.22151898734177214,1.0,4.240909090909091,-0.2851625672376437,0.0,-0.19204883102234932,0.0,0.6736383070883726
Ryan McMahon*,15112,641857,2023,COL,202.0,627.0,0.32216905901116427,28.0,198.0,,0.3157894736842105,1.0,4.89,0.546491457726624,0.0,1.3400009122521381,0.0,-0.10713148763853422
Justin Turner,5235,457759,2023,BOS,216.0,626.0,0.3450479233226837,38.0,110.0,,0.1757188498402556,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-0.9363760496838553,0.0,2.4954344947844884
Gunnar Henderson*,26289,683002,2023,BAL,202.0,622.0,0.3247588424437299,22.0,159.0,,0.25562700964630225,1.0,4.279999999999999,-0.23507696069217776,0.0,0.36226237328647776,0.0,-1.6686710770923479
Andrew Benintendi*,17901,643217,2023,CHW,202.0,621.0,0.3252818035426731,28.0,89.0,,0.143317230273752,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-1.4629554157668778,0.0,-0.10713148763853422
Carlos Santana#,2396,467793,2023,2TM,197.0,619.0,0.3182552504038772,37.0,104.0,,0.1680129240710824,1.0,5.847142857142857,1.7728400299528466,0.0,-1.0616099596211517,0.0,2.235177896542186
Carlos Santana#,2396,467793,2023,PIT,126.0,393.0,0.32061068702290074,37.0,69.0,,0.17557251908396945,1.0,5.847142857142857,1.7728400299528466,0.0,-0.9387541640471035,0.0,2.235177896542186
Carlos Santana#,2396,467793,2023,MIL,71.0,226.0,0.3141592920353982,37.0,35.0,,0.15486725663716813,1.0,5.847142857142857,1.7728400299528466,0.0,-1.2752485775884133,0.0,2.235177896542186
Josh Bell#,13145,605137,2023,2TM,200.0,617.0,0.3241491085899514,30.0,134.0,,0.2171799027552674,1.0,3.335,-1.4458673793901562,0.0,-0.26256605952855483,0.0,0.41338170884607034
Josh Bell#,13145,605137,2023,CLE,125.0,393.0,0.31806615776081426,30.0,81.0,,0.20610687022900764,1.0,3.335,-1.4458673793901562,0.0,-0.44252096691603626,0.0,0.41338170884607034
Josh Bell#,13145,605137,2023,MIA,75.0,224.0,0.33482142857142855,30.0,53.0,,0.23660714285714285,1.0,3.335,-1.4458673793901562,0.0,0.0531583985218038,0.0,0.41338170884607034
Andrés Giménez*,19950,665926,2023,CLE,192.0,616.0,0.3116883116883117,24.0,112.0,,0.18181818181818182,1.0,3.6125,-1.0903178119947181,0.0,-0.837251919179385,0.0,-1.1481578806077433
Ezequiel Tovar,24064,678662,2023,COL,176.0,615.0,0.2861788617886179,21.0,166.0,,0.26991869918699185,1.0,4.923333333333333,0.5892001144708207,0.0,0.5945257267631565,0.0,-1.92892767533465
Andrew Vaughn,26197,683734,2023,CHW,193.0,615.0,0.31382113821138213,25.0,129.0,,0.2097560975609756,1.0,5.194444444444445,0.9365638559902888,0.0,-0.3832150482345188,0.0,-0.8879012823654411
CJ Abrams*,25768,682928,2023,WSN,183.0,614.0,0.2980456026058632,22.0,118.0,,0.19218241042345277,1.0,6.107272727272727,2.1061339499215204,0.0,-0.6688162359660343,0.0,-1.6686710770923479
Nolan Arenado,9777,571448,2023,STL,193.0,612.0,0.315359477124183,32.0,101.0,,0.1650326797385621,1.0,5.007499999999999,0.6970394727499174,0.0,-1.110043809298636,0.0,0.9338949053306749
Alec Bohm,21618,664761,2023,PHI,200.0,611.0,0.32733224222585927,26.0,94.0,,0.15384615384615385,1.0,4.496666666666667,0.042529308145102716,0.0,-1.2918431696980548,0.0,-0.6276446841231388
William Contreras,20503,661388,2023,MIL,224.0,611.0,0.36661211129296234,25.0,126.0,,0.20621931260229132,1.0,4.170000000000001,-0.37601552794802534,0.0,-0.4406935942588436,0.0,-0.8879012823654411
MJ Melendez*,22197,669004,2023,KCR,190.0,602.0,0.31561461794019935,24.0,170.0,,0.2823920265780731,1.0,3.985,-0.6130485728783187,0.0,0.797237718275201,0.0,-1.1481578806077433
Alex Verdugo*,17027,657077,2023,BOS,195.0,602.0,0.3239202657807309,27.0,93.0,,0.15448504983388706,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-1.2814600638930187,0.0,-0.3673880858808365
Bo Bichette,19612,666182,2023,TOR,204.0,601.0,0.33943427620632277,25.0,115.0,,0.1913477537437604,1.0,4.5424999999999995,0.10125371116837224,0.0,-0.6823807735159948,0.0,-0.8879012823654411
Manny Machado,11493,592518,2023,SDP,192.0,601.0,0.3194675540765391,30.0,109.0,,0.18136439267886856,1.0,5.086,0.797618359382502,0.0,-0.8446267356395465,0.0,0.41338170884607034
Anthony Volpe,27647,683011,2023,NYY,170.0,601.0,0.28286189683860236,22.0,167.0,,0.2778702163061564,1.0,3.4324999999999997,-1.320944558413381,0.0,0.7237508982214542,0.0,-1.6686710770923479
Yandy Díaz,16578,650490,2023,TBR,246.0,600.0,0.41,31.0,94.0,,0.15666666666666668,1.0,6.068,2.0558153870665388,0.0,-1.2460052186040889,0.0,0.6736383070883726
Shohei Ohtani*,19755,660271,2023,LAA,245.0,599.0,0.4090150250417362,28.0,143.0,,0.2387312186978297,1.0,4.0874999999999995,-0.4817194533899141,0.0,0.08767810848276619,0.0,-0.10713148763853422
José Abreu,15676,547989,2023,HOU,176.0,594.0,0.2962962962962963,36.0,130.0,,0.21885521885521886,1.0,2.83,-2.0929035290647375,0.0,-0.235339430066702,0.0,1.9749212982998838
Whit Merrifield,11281,593160,2023,TOR,188.0,592.0,0.31756756756756754,34.0,101.0,,0.17060810810810811,1.0,4.165,-0.38242182645965583,0.0,-1.0194339701684971,0.0,1.4544081018152795
Marcell Ozuna,10324,542303,2023,ATL,205.0,592.0,0.34628378378378377,32.0,134.0,,0.22635135135135134,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-0.1135150042911315,0.0,0.9338949053306749
Dominic Smith*,15653,642086,2023,WSN,191.0,586.0,0.32593856655290104,28.0,91.0,,0.1552901023890785,1.0,7.161818181818182,3.4572805451015647,0.0,-1.2683766418342497,0.0,-0.10713148763853422
Seiya Suzuki,30116,673548,2023,CHC,208.0,583.0,0.3567753001715266,28.0,130.0,,0.22298456260720412,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-0.16823083351039947,0.0,-0.10713148763853422
