Name,IDfg,key_mlbam,season,Team,Y,n,obp_raw,Age,SO,GB%,K%,park_factor,avg_fip_faced,avg_fip_faced_z,park_factor_z,k_rate_z,gb_rate_z,age_z,obp_posterior_mean,obp_posterior_median,obp_posterior_sd,obp_ci_lower,obp_ci_upper,shrinkage
Marcus Semien,12533,543760,2023,TEX,262.0,753.0,0.34794156706507307,32.0,110.0,,0.1460823373173971,1.0,3.7225,-0.9493792447388681,0.0,-1.4180178992576855,0.0,0.9338949053306749,0.35052113310601696,0.34910318208987867,0.026226930658914294,0.3152576288763312,0.3836355701898086,0.9303690681253879
Freddie Freeman*,5361,518692,2023,LAD,299.0,730.0,0.4095890410958904,33.0,121.0,,0.16575342465753426,1.0,5.985714285714286,1.9503860172751506,0.0,-1.0983305243574017,0.0,1.194151503572977,0.4133635724388984,0.4120996071178144,0.02102978150378782,0.37976187860355154,0.4498998255236551,0.9617551089607812
Alex Bregman,17678,608324,2023,HOU,263.0,724.0,0.3632596685082873,29.0,87.0,,0.12016574585635359,1.0,2.9275,-1.9679807080879617,0.0,-1.839204941299782,0.0,0.15312511060376804,0.364002016876893,0.36180494656876194,0.024592207698891286,0.32662999277625243,0.3991967885707197,0.9858234062318776
Nathaniel Lowe*,19566,663993,2023,TEX,261.0,724.0,0.36049723756906077,27.0,165.0,,0.22790055248618785,1.0,3.7225,-0.9493792447388681,0.0,-0.08833794948857941,0.0,-0.3673880858808365,0.3635822613200759,0.36069995759971984,0.02493680648491019,0.3222975593705244,0.4139846945904056,0.9378043690757638
Matt Olson*,14344,621566,2023,ATL,280.0,720.0,0.3888888888888889,29.0,167.0,,0.23194444444444445,1.0,2.69,-2.272279887390364,0.0,-0.022618084482560502,0.0,0.15312511060376804,0.38945011320470585,0.38889496482059244,0.028518159702814454,0.33635372597433955,0.4396638680610789,0.9928042249403966
Kyle Schwarber*,16478,656941,2023,PHI,247.0,720.0,0.34305555555555556,30.0,215.0,,0.2986111111111111,1.0,4.3425,-0.15499822929680762,0.0,1.0608243959202688,0.0,0.41338170884607034,0.3476496902747148,0.34427456110763693,0.03157362084494085,0.3089493177093154,0.38723676515852623,0.8571486837621279
Steven Kwan*,24610,680757,2023,CLE,244.0,718.0,0.3398328690807799,25.0,75.0,,0.10445682451253482,1.0,3.4525,-1.2953193643668623,0.0,-2.0945006318777812,0.0,-0.8879012823654411,0.34598199241523886,0.3452148141247176,0.02380784226471122,0.3142206883684041,0.38186469624225816,0.7875037985369098
Austin Riley,18360,663586,2023,ATL,247.0,715.0,0.34545454545454546,26.0,172.0,,0.24055944055944056,1.0,2.69,-2.272279887390364,0.0,0.11738970690982138,0.0,-0.6276446841231388,0.3488417811459674,0.34653778520451173,0.02737711708315073,0.31375278191338657,0.38006599069693037,0.9019875657732648
Julio Rodríguez,23697,677594,2023,SEA,238.0,714.0,0.3333333333333333,22.0,175.0,,0.24509803921568626,1.0,3.786363636363636,-0.8675533410221461,0.0,0.19114936569495825,0.0,-1.6686710770923479,0.33770490082719307,0.3370868578075659,0.029342952708557208,0.2965574318421909,0.37151621920920946,0.8051715322297898
Juan Soto*,20123,665742,2023,SDP,290.0,708.0,0.4096045197740113,24.0,129.0,,0.18220338983050846,1.0,5.086,0.797618359382502,0.0,-0.8309916583141918,0.0,-1.1481578806077433,0.4126042157910385,0.4113977368320451,0.020794068427750615,0.37882516577450526,0.4585760457651932,0.9696107815572791
Eugenio Suárez,12552,553993,2023,SEA,224.0,694.0,0.3227665706051873,31.0,214.0,,0.30835734870317005,1.0,3.786363636363636,-0.8675533410221461,0.0,1.2192167133903036,0.0,0.6736383070883726,0.3279370280767743,0.3251505368221431,0.0343939043745667,0.2855897391835184,0.3804957292320465,0.5644562404658284
Mookie Betts,13611,605141,2023,LAD,283.0,693.0,0.4083694083694084,30.0,107.0,,0.1544011544011544,1.0,6.65,2.8015085338202157,0.0,-1.2828235020290337,0.0,0.41338170884607034,0.41299146534500963,0.40944787803833305,0.02352275083511204,0.36760888760004884,0.4621559518621527,0.9525816948528826
Ian Happ#,17919,664023,2023,CHC,249.0,691.0,0.36034732272069464,28.0,153.0,,0.22141823444283648,1.0,4.289999999999999,-0.222264363668919,0.0,-0.1936862305833087,0.0,-0.10713148763853422,0.3656273024374792,0.36422789530548827,0.025915969637141677,0.33008419677431255,0.4017053346184083,0.8932302560316638
José Ramírez#,13510,608070,2023,CLE,246.0,691.0,0.35600578871201155,30.0,73.0,,0.10564399421128799,1.0,3.665,-1.0230516776226077,0.0,-2.075207180631638,0.0,0.41338170884607034,0.36016944831302516,0.3591066935733993,0.022429702179595792,0.3301681962912192,0.3937844724969793,0.9077008519346204
Trea Turner,16252,607208,2023,PHI,221.0,691.0,0.31982633863965265,30.0,150.0,,0.2170767004341534,1.0,4.3425,-0.15499822929680762,0.0,-0.2642432662101214,0.0,0.41338170884607034,0.32363557927545483,0.32047501100394854,0.03171518053586301,0.28228904204938,0.3666447919381721,0.5734828679713816
Nico Hoerner,21479,663538,2023,CHC,238.0,688.0,0.34593023255813954,26.0,83.0,,0.12063953488372094,1.0,4.289999999999999,-0.222264363668919,0.0,-1.831505093914804,0.0,-0.6276446841231388,0.34878001660652413,0.34795780964965417,0.026921114690675887,0.3103511732410106,0.40216160734475953,0.9186587811875959
Paul Goldschmidt,9218,502671,2023,STL,249.0,687.0,0.3624454148471616,35.0,161.0,,0.23435225618631733,1.0,5.007499999999999,0.6970394727499174,0.0,0.016512798406806632,0.0,1.7146647000575816,0.3656623449371703,0.3620548621120723,0.026362783661098156,0.3305857774791854,0.40929763392704166,0.9375960625718296
Francisco Lindor#,12916,596019,2023,NYM,231.0,687.0,0.33624454148471616,29.0,137.0,,0.19941775836972345,1.0,5.842,1.7662506943408844,0.0,-0.5512299860837591,0.0,0.15312511060376804,0.3399872374726801,0.33537394551760913,0.0277435541947114,0.30379205939155435,0.3760070093963842,0.8523547100349386
Adley Rutschman#,26288,668939,2023,BAL,257.0,687.0,0.37409024745269287,25.0,101.0,,0.1470160116448326,1.0,4.279999999999999,-0.23507696069217776,0.0,-1.4028441628196078,0.0,-0.8879012823654411,0.3765655055196197,0.3745450565962286,0.02052723435719959,0.34519983300596585,0.4037445776249998,0.9608313923989448
Spencer Torkelson,27465,679529,2023,DET,214.0,684.0,0.3128654970760234,23.0,171.0,,0.25,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,0.27081425395987235,0.0,-1.4084144788500457,0.31943358947084954,0.3169526510792261,0.03145309146687641,0.2820506288743666,0.359052755356354,-2.3337249439743193
George Springer,12856,543807,2023,TOR,223.0,683.0,0.32650073206442165,33.0,125.0,,0.18301610541727673,1.0,4.5424999999999995,0.10125371116837224,0.0,-0.8177836994463381,0.0,1.194151503572977,0.3306974226185795,0.32897956368288334,0.02909515282464789,0.2952766317701182,0.3661052841396241,0.7310750027279178
Brandon Nimmo*,12927,607043,2023,NYM,247.0,682.0,0.3621700879765396,30.0,146.0,,0.21407624633431085,1.0,5.842,1.7662506943408844,0.0,-0.31300555769414495,0.0,0.41338170884607034,0.36401804597080123,0.36395823356440693,0.027092625489781978,0.3279523764106221,0.40727187423427746,0.9639597139874857
Lane Thomas,16939,657041,2023,WSN,215.0,682.0,0.3152492668621701,27.0,176.0,,0.25806451612903225,1.0,6.107272727272727,2.1061339499215204,0.0,0.4018758443311823,0.0,-0.3673880858808365,0.3201078797856674,0.31540343164584134,0.03161377440976933,0.2811964117606861,0.36009593264968737,-0.11590510335922621
Teoscar Hernández,13066,606192,2023,SEA,207.0,678.0,0.3053097345132743,30.0,211.0,,0.3112094395280236,1.0,3.687272727272727,-0.9945145297071676,0.0,1.2655678587545056,0.0,0.41338170884607034,0.30902611826440346,0.30619855021311476,0.03810487257352921,0.26134666728712386,0.36360128724300234,0.3346451290038567
Kyle Tucker*,18345,663656,2023,HOU,246.0,674.0,0.3649851632047478,26.0,92.0,,0.13649851632047477,1.0,2.83,-2.0929035290647375,0.0,-1.5737706811473189,0.0,-0.6276446841231388,0.36918036837150603,0.36895384815421794,0.022818932420728195,0.3307229379996424,0.4059122530532468,0.9224400842968916
Gleyber Torres,16997,650402,2023,NYY,233.0,672.0,0.34672619047619047,26.0,98.0,,0.14583333333333334,1.0,4.8075,0.4407875322847375,0.0,-1.4220646216695487,0.0,-0.6276446841231388,0.3502354897104262,0.34826358179937134,0.025403286006093522,0.31748883208905726,0.3829703325117972,0.9020593887521209
Nick Castellanos,11737,592206,2023,PHI,209.0,671.0,0.3114754098360656,31.0,185.0,,0.2757078986587183,1.0,4.3425,-0.15499822929680762,0.0,0.6886096962910675,0.0,0.6736383070883726,0.3147420605154146,0.3125745385621714,0.0329853582869464,0.280091858753938,0.3557229506959923,-4.631097954138584
Xander Bogaerts,12161,593428,2023,SDP,233.0,665.0,0.35037593984962406,30.0,110.0,,0.16541353383458646,1.0,4.724,0.33380234714052465,0.0,-1.1038543067016127,0.0,0.41338170884607034,0.3544813524681908,0.3524651584059283,0.02978222207462135,0.31053969398395503,0.4021236479899703,0.8960145347255299
Ty France,17982,664034,2023,SEA,224.0,665.0,0.3368421052631579,28.0,117.0,,0.17593984962406015,1.0,3.786363636363636,-0.8675533410221461,0.0,-0.93278444137485,0.0,-0.10713148763853422,0.3396485611378464,0.33723005841202847,0.028126043040956453,0.302907494656721,0.3787059399164553,0.8918380920043798
Spencer Steer,26323,668715,2023,CIN,237.0,665.0,0.35639097744360904,25.0,139.0,,0.20902255639097744,1.0,3.7275,-0.9429729462272388,0.0,-0.39513629320502475,0.0,-0.8879012823654411,0.3584218529355102,0.35680185918292495,0.02801546932948175,0.31687560464047276,0.4015301616819286,0.9553611322496559
Christian Walker,13419,572233,2023,ARI,220.0,661.0,0.3328290468986384,32.0,127.0,,0.19213313161875945,1.0,4.17,-0.37601552794802645,0.0,-0.6696170972218577,0.0,0.9338949053306749,0.3369564651851519,0.3357183136948616,0.027812796767550406,0.3034170559876745,0.36680231731176655,0.8118233760804044
Ozzie Albies#,16556,645277,2023,ATL,221.0,660.0,0.33484848484848484,26.0,107.0,,0.1621212121212121,1.0,2.69,-2.272279887390364,0.0,-1.1573599247529485,0.0,-0.6276446841231388,0.3408777889506198,0.33673603239692596,0.02680314532014707,0.3047907650049057,0.3818701301974189,0.7482879897887673
Pete Alonso,19251,624413,2023,NYM,209.0,658.0,0.31762917933130697,28.0,151.0,,0.22948328267477203,1.0,5.842,1.7662506943408844,0.0,-0.06261599266865817,0.0,-0.10713148763853422,0.32238631945824314,0.32006824416258284,0.032448569983166316,0.2799679509021177,0.35588248729067057,0.2935512393445693
Joey Meneses,14366,608841,2023,WSN,211.0,657.0,0.3211567732115677,31.0,130.0,,0.197869101978691,1.0,7.161818181818182,3.4572805451015647,0.0,-0.5763981879076372,0.0,0.6736383070883726,0.32514166604914413,0.32343793271129423,0.03007764088074762,0.2904992510722775,0.3602257740714595,0.6116646143461915
Rafael Devers*,17350,646240,2023,BOS,230.0,656.0,0.35060975609756095,26.0,126.0,,0.19207317073170732,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-0.6705915598047812,0.0,-0.6276446841231388,0.3558309357030225,0.3546330948647205,0.02590636142652725,0.32047937822344263,0.39439182621708124,0.8685320100879499
Anthony Santander#,14551,623993,2023,BAL,213.0,656.0,0.3246951219512195,28.0,152.0,,0.23170731707317074,1.0,4.279999999999999,-0.23507696069217776,0.0,-0.026471792492123364,0.0,-0.10713148763853422,0.3290675820797611,0.32586270489017893,0.03201368611820225,0.2828347334149855,0.3722901454281612,0.6831509562505526
Randy Arozarena,19290,668227,2023,TBR,238.0,654.0,0.363914373088685,28.0,156.0,,0.23853211009174313,1.0,6.452,2.547819112759686,0.0,0.08444226765204639,0.0,-0.10713148763853422,0.36651987171267725,0.3626867449329505,0.027134968671114233,0.3286025182260987,0.41114757373185823,0.9508573327931463
Ketel Marte#,13613,606466,2023,ARI,233.0,650.0,0.35846153846153844,29.0,109.0,,0.1676923076923077,1.0,3.7800000000000002,-0.8757068118551286,0.0,-1.0668205006913132,0.0,0.15312511060376804,0.3600323563187084,0.3546298363130951,0.024588712976731843,0.33008210041731395,0.39442565256559314,0.9669762012902732
Jeff McNeil*,15362,643446,2023,NYM,215.0,648.0,0.3317901234567901,31.0,65.0,,0.10030864197530864,1.0,5.378,1.1717461924616657,0.0,-2.1619153895372216,0.0,0.6736383070883726,0.33581554119297974,0.331989970278484,0.027310186675654248,0.2966471219519148,0.38026898476709275,0.8073485567861378
Corbin Carroll*,25878,682998,2023,ARI,231.0,645.0,0.3581395348837209,22.0,125.0,,0.1937984496124031,1.0,4.17,-0.37601552794802645,0.0,-0.6425529533564663,0.0,-1.6686710770923479,0.3630409715207725,0.3615785510017694,0.025750550318915003,0.323565458613885,0.40651563149326353,0.8962532310143433
Bryan Reynolds#,19326,668804,2023,PIT,211.0,640.0,0.3296875,28.0,138.0,,0.215625,1.0,5.847142857142857,1.7728400299528466,0.0,-0.28783577499783647,0.0,-0.10713148763853422,0.3329081963678078,0.32823421323453417,0.030855242589489747,0.2970634552659285,0.38048318459081915,0.8286152494771617
Bryson Stott*,26294,681082,2023,PHI,210.0,640.0,0.328125,25.0,100.0,,0.15625,1.0,4.496666666666667,0.042529308145102716,0.0,-1.2527767341066067,0.0,-0.8879012823654411,0.33266794289814855,0.33135152812003393,0.031156732535272045,0.2881252839974591,0.3802288735805741,0.7363306897379489
Willy Adames,15986,642715,2023,MIL,197.0,638.0,0.30877742946708464,27.0,165.0,,0.25862068965517243,1.0,4.170000000000001,-0.37601552794802534,0.0,0.41091457470161785,0.0,-0.3673880858808365,0.3141558703251056,0.31052410673129494,0.03202468206256813,0.28018247907014504,0.3420763087512287,-1.5395503103696049
Dansby Swanson,18314,621020,2023,CHC,209.0,638.0,0.3275862068965517,29.0,154.0,,0.2413793103448276,1.0,4.289999999999999,-0.222264363668919,0.0,0.13071393321812733,0.0,0.15312511060376804,0.3314007053806125,0.32783688558897217,0.029622009575268626,0.2997004333977053,0.36435541256521614,0.7714624678167881
Jeremy Peña,21636,665161,2023,HOU,204.0,634.0,0.3217665615141956,25.0,129.0,,0.20347003154574134,1.0,4.481111111111112,0.02259860166447784,0.0,-0.4853739125673389,0.0,-0.8879012823654411,0.3252666281285799,0.32230536088031947,0.028602154583965818,0.2856100979145764,0.3618062878667273,0.6780440913292861
Adolis García,19287,666969,2023,TEX,207.0,632.0,0.3275316455696203,30.0,175.0,,0.27689873417721517,1.0,3.7225,-0.9493792447388681,0.0,0.7079627231097478,0.0,0.41338170884607034,0.33349596151918415,0.3298551563169083,0.030870367900224287,0.2956628738001989,0.381085947835418,0.6414887981565924
Christian Yelich*,11477,592885,2023,MIL,234.0,632.0,0.370253164556962,31.0,140.0,,0.22151898734177214,1.0,4.240909090909091,-0.2851625672376437,0.0,-0.19204883102234932,0.0,0.6736383070883726,0.37342999474684974,0.37060228531202444,0.025284775695629067,0.33790124635749097,0.4092159333034616,0.9464800451023568
Ryan McMahon*,15112,641857,2023,COL,202.0,627.0,0.32216905901116427,28.0,198.0,,0.3157894736842105,1.0,4.89,0.546491457726624,0.0,1.3400009122521381,0.0,-0.10713148763853422,0.3271459664137295,0.32226341512556955,0.03335372244681191,0.28997957980843264,0.3617266816383498,0.5585405222210007
Justin Turner,5235,457759,2023,BOS,216.0,626.0,0.3450479233226837,38.0,110.0,,0.1757188498402556,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-0.9363760496838553,0.0,2.4954344947844884,0.348432993147084,0.34740047123249745,0.02655235077257735,0.31376072136321853,0.37890026636489854,0.9008840441349958
Gunnar Henderson*,26289,683002,2023,BAL,202.0,622.0,0.3247588424437299,22.0,159.0,,0.25562700964630225,1.0,4.279999999999999,-0.23507696069217776,0.0,0.36226237328647776,0.0,-1.6686710770923479,0.3274533021486458,0.3248207886495801,0.03192464590524744,0.2867212546676023,0.3657041751599933,0.8056442012772662
Andrew Benintendi*,17901,643217,2023,CHW,202.0,621.0,0.3252818035426731,28.0,89.0,,0.143317230273752,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-1.4629554157668778,0.0,-0.10713148763853422,0.3281170805556098,0.3246760925052694,0.027065115974866945,0.29250090771483445,0.3655367052404601,0.8029210386923923
Carlos Santana#,2396,467793,2023,2TM,197.0,619.0,0.3182552504038772,37.0,104.0,,0.1680129240710824,1.0,5.847142857142857,1.7728400299528466,0.0,-1.0616099596211517,0.0,2.235177896542186,0.32675018730866706,0.3234582021346699,0.03023416496815035,0.2829199621020346,0.3678784110824563,-0.15421129056489713
Carlos Santana#,2396,467793,2023,PIT,126.0,393.0,0.32061068702290074,37.0,69.0,,0.17557251908396945,1.0,5.847142857142857,1.7728400299528466,0.0,-0.9387541640471035,0.0,2.235177896542186,0.3241045436707404,0.32063950924057344,0.0322503219410264,0.2850201245311958,0.38330042962462163,0.6403790260336719
Carlos Santana#,2396,467793,2023,MIL,71.0,226.0,0.3141592920353982,37.0,35.0,,0.15486725663716813,1.0,5.847142857142857,1.7728400299528466,0.0,-1.2752485775884133,0.0,2.235177896542186,0.32719335885545425,0.32971913323066127,0.03537297983443756,0.2760761095178829,0.38076945379076843,-2.993291026223672
Josh Bell#,13145,605137,2023,2TM,200.0,617.0,0.3241491085899514,30.0,134.0,,0.2171799027552674,1.0,3.335,-1.4458673793901562,0.0,-0.26256605952855483,0.0,0.41338170884607034,0.32893476149573686,0.3252826473210375,0.030763653814844246,0.2849479356390303,0.3755261676128526,0.6389224146176629
Josh Bell#,13145,605137,2023,CLE,125.0,393.0,0.31806615776081426,30.0,81.0,,0.20610687022900764,1.0,3.335,-1.4458673793901562,0.0,-0.44252096691603626,0.0,0.41338170884607034,0.3226203119264936,0.3179159373955444,0.03516161439774553,0.2766228486823329,0.3834895596410608,0.36490795941563015
Josh Bell#,13145,605137,2023,MIA,75.0,224.0,0.33482142857142855,30.0,53.0,,0.23660714285714285,1.0,3.335,-1.4458673793901562,0.0,0.0531583985218038,0.0,0.41338170884607034,0.3391043902681728,0.3362486182520874,0.035192513773880434,0.28583912434336756,0.40892995742394517,0.8209922749852498
Andrés Giménez*,19950,665926,2023,CLE,192.0,616.0,0.3116883116883117,24.0,112.0,,0.18181818181818182,1.0,3.6125,-1.0903178119947181,0.0,-0.837251919179385,0.0,-1.1481578806077433,0.31778416765236694,0.31692886090644135,0.031010069404805177,0.27765711217344424,0.3636895993426099,-6.686976593916301
Ezequiel Tovar,24064,678662,2023,COL,176.0,615.0,0.2861788617886179,21.0,166.0,,0.26991869918699185,1.0,4.923333333333333,0.5892001144708207,0.0,0.5945257267631565,0.0,-1.92892767533465,0.2915424957580822,0.28525147135387324,0.034327347706272264,0.26110028290261605,0.3352634802284357,0.7829932555370478
Andrew Vaughn,26197,683734,2023,CHW,193.0,615.0,0.31382113821138213,25.0,129.0,,0.2097560975609756,1.0,5.194444444444445,0.9365638559902888,0.0,-0.3832150482345188,0.0,-0.8879012823654411,0.3191063126137106,0.31609750155261207,0.03306103885718478,0.2675137037257611,0.36762290323424357,-0.806380088807821
CJ Abrams*,25768,682928,2023,WSN,183.0,614.0,0.2980456026058632,22.0,118.0,,0.19218241042345277,1.0,6.107272727272727,2.1061339499215204,0.0,-0.6688162359660343,0.0,-1.6686710770923479,0.3015214589459776,0.29676497478185515,0.036039412138778155,0.2523079002930269,0.36005809351607104,0.7294989904425563
Nolan Arenado,9777,571448,2023,STL,193.0,612.0,0.315359477124183,32.0,101.0,,0.1650326797385621,1.0,5.007499999999999,0.6970394727499174,0.0,-1.110043809298636,0.0,0.9338949053306749,0.32149513124127665,0.3176374941142841,0.030329629179202986,0.28580317368039104,0.3592788351720038,-0.37442020710723245
Alec Bohm,21618,664761,2023,PHI,200.0,611.0,0.32733224222585927,26.0,94.0,,0.15384615384615385,1.0,4.496666666666667,0.042529308145102716,0.0,-1.2918431696980548,0.0,-0.6276446841231388,0.3316442491542713,0.3299375793910605,0.029344555208904614,0.2845402725785607,0.3776549832394612,0.7376636673087935
William Contreras,20503,661388,2023,MIL,224.0,611.0,0.36661211129296234,25.0,126.0,,0.20621931260229132,1.0,4.170000000000001,-0.37601552794802534,0.0,-0.4406935942588436,0.0,-0.8879012823654411,0.36916754907963195,0.3659409822652544,0.02631550774349962,0.3343680103468938,0.4082880451523746,0.9541352463449913
MJ Melendez*,22197,669004,2023,KCR,190.0,602.0,0.31561461794019935,24.0,170.0,,0.2823920265780731,1.0,3.985,-0.6130485728783187,0.0,0.797237718275201,0.0,-1.1481578806077433,0.3198519751783369,0.3170577640956269,0.034385016531729796,0.2764324539972283,0.36635291509574813,0.1021249192463679
Alex Verdugo*,17027,657077,2023,BOS,195.0,602.0,0.3239202657807309,27.0,93.0,,0.15448504983388706,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-1.2814600638930187,0.0,-0.3673880858808365,0.3294663918138945,0.3279602705577447,0.029432784639123466,0.28767493585345455,0.37605307530549203,0.5741926330736367
Bo Bichette,19612,666182,2023,TOR,204.0,601.0,0.33943427620632277,25.0,115.0,,0.1913477537437604,1.0,4.5424999999999995,0.10125371116837224,0.0,-0.6823807735159948,0.0,-0.8879012823654411,0.34316574827622737,0.33990466982152395,0.027248598802805984,0.3070365528301106,0.38476933034005334,0.869249963612131
Manny Machado,11493,592518,2023,SDP,192.0,601.0,0.3194675540765391,30.0,109.0,,0.18136439267886856,1.0,5.086,0.797618359382502,0.0,-0.8446267356395465,0.0,0.41338170884607034,0.32405063961010616,0.32168873448969876,0.030951096884071543,0.28360215355385954,0.3720183730504242,0.46535812723232894
Anthony Volpe,27647,683011,2023,NYY,170.0,601.0,0.28286189683860236,22.0,167.0,,0.2778702163061564,1.0,3.4324999999999997,-1.320944558413381,0.0,0.7237508982214542,0.0,-1.6686710770923479,0.28800249217601714,0.28527910648666355,0.03804853540245848,0.2444470328077408,0.33369452566993835,0.8166260743660059
Yandy Díaz,16578,650490,2023,TBR,246.0,600.0,0.41,31.0,94.0,,0.15666666666666668,1.0,6.068,2.0558153870665388,0.0,-1.2460052186040889,0.0,0.6736383070883726,0.4128886053331178,0.41347827341517385,0.020101145337327285,0.3784690880327197,0.4448003589229983,0.9708529932778989
Shohei Ohtani*,19755,660271,2023,LAA,245.0,599.0,0.4090150250417362,28.0,143.0,,0.2387312186978297,1.0,4.0874999999999995,-0.4817194533899141,0.0,0.08767810848276619,0.0,-0.10713148763853422,0.4125048565549993,0.4083794331644328,0.023613806176436346,0.3750649085668321,0.46033833002437974,0.9644329257849701
José Abreu,15676,547989,2023,HOU,176.0,594.0,0.2962962962962963,36.0,130.0,,0.21885521885521886,1.0,2.83,-2.0929035290647375,0.0,-0.235339430066702,0.0,1.9749212982998838,0.30270090693731694,0.2993002097648766,0.03355974468101353,0.26791545821101986,0.3425374369172202,0.5612981262170389
Whit Merrifield,11281,593160,2023,TOR,188.0,592.0,0.31756756756756754,34.0,101.0,,0.17060810810810811,1.0,4.165,-0.38242182645965583,0.0,-1.0194339701684971,0.0,1.4544081018152795,0.3231320814906679,0.3212107556549383,0.029243956908746194,0.2899376455058835,0.36707300905079354,0.1660234616322368
Marcell Ozuna,10324,542303,2023,ATL,205.0,592.0,0.34628378378378377,32.0,134.0,,0.22635135135135134,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-0.1135150042911315,0.0,0.9338949053306749,0.34949460590507536,0.3474792825322003,0.0307024487339103,0.30706500435251566,0.39225021962034473,0.909269291797384
Dominic Smith*,15653,642086,2023,WSN,191.0,586.0,0.32593856655290104,28.0,91.0,,0.1552901023890785,1.0,7.161818181818182,3.4572805451015647,0.0,-1.2683766418342497,0.0,-0.10713148763853422,0.3280320114988809,0.32533800545374225,0.03262463197865492,0.28263370144716604,0.38249056319796965,0.8608383988223982
